gLightDirR 0000000046B6133F
gLightDirG 0000000046B613BF
gLightDirB 0000000046B6133F
MatSpcR 000000000000803F
MatSpcG 000000000000803F
MatSpcB 000000000000803F
MatSpcA 000000000000803F
SpcPower 0000000000007041
MatDifR 000000000000803F
MatDifG 000000000000803F
MatDifB 000000000000803F
MatDifA 000000000000803F
MatAmbR 00000000BFBA3A3F
MatAmbG 00000000C5C7473F
MatAmbB 00000000CDC8483F
MatAmbA 000000000000803F
TexRep0 0100000001000000
ReflectCoeff 00000000CDCCCC3E
ReflectFresnelCoeff 000000000000003F
Glare 0100010001000000
TextureFilter0 0100010003000000
TexScrl0U 000000000000803F
TexScrl0V 0000000000000000
AlphaBlend 0100010001000000
AlphaBlendType 0100010001000000
AlphaRef 0100000000000000
ReflectFresnelBias 00000000CDCCCC3D
ZWriteMask 0100010001000000
AlphaTest 0100010001000000
TextureFilter1 0100010000000000
TextureFilter2 0100010000000000
TextureFilter3 0100010000000000
BackFace 0100010001000000
SpcCoeff 000000000000803F
NoEdge 0100010001000000
MatScale0X 000000000000803F
MatScale0Y 000000000000803F
MatScale0Z 000000000000803F
MatScale0W 0000000000000040
MatDifScale 000000000000803F
MatAmbScale 000000000000803F
Shimmer 0100010001000000
LowRez 0100010001000000
TexRep1 0100000008000000
MatOffset0X 000000000000803F
MatOffset0Y 0000000000000040
MatOffset0Z 0000000000000000
MatOffset0W 0000000000000000
gEyePosR 0000000000000000
gEyePosG 0000000000000000
gEyePosB 0000000000000000
TexScrl1U 0000000000000000
TexScrl1V 0000000000000000
MatCol1R 000000000000803F
MatCol1G 000000000000803F
MatCol1B 000000000000803F
MatCol1A 000000000000803F
VsFlag0 0100000001000000
VsFlag1 0100000000000000
VsFlag2 0100000000000000
VsFlag3 0100000000000000
IncidencePower 0000000000000041
IncidenceAlphaBias 000000000000803F
GlareColR 000000000000803F
GlareColG 000000000000803F
GlareColB 000000000000803F
GlareColA 000000000000803F
AnimationChannel 0100010003000100
TwoSidedRender 0100010001000000
LowRezSmoke 0100010001000000
gLightSpcR 000000000000803F
gLightSpcG 000000000000803F
gLightSpcB 000000000000803F
gLightSpcA 000000000000803F
gLightAmbR 000000000000003F
gLightAmbG 000000000000003F
gLightAmbB 000000000000003F
gLightAmbA 000000000000803F
gCamPosR 0000000000000000
gCamPosG 0000000000000000
gCamPosB 0000000000000000
texcoord1 0100000000000000
texcoord2 0100000000000000
texcoord3 0100000000000000
gOffset 0100000000000000
gScrollU 0000000000000000
gScrollV 0000000000000000
